# time in s, flow in mL/s
0.0,0.4002904654180188
0.03225806451612903,9.025820284736046
0.06451612903225806,8.00325590804652
0.0967741935483871,3.584960268473292
0.12903225806451613,1.5219215548454557
0.16129032258064516,1.8087248503176774
0.1935483870967742,2.096226016865227
0.22580645161290322,1.8323003825488442
0.25806451612903225,1.7112718026260616
0.29032258064516125,0.9135358007044623
0.3225806451612903,-1.0108117497425706
0.3548387096774194,-2.3823103646519357
0.3870967741935484,-1.8032764629096931
0.4193548387096774,-0.6317510912387814
0.45161290322580644,-0.4085159644739491
0.4838709677419355,-1.1464200181528579
0.5161290322580645,-1.8160435235445682
0.5483870967741935,-2.537237822129555
0.5806451612903225,-3.071041190449467
0.6129032258064516,-3.6346431152037066
0.6451612903225806,-3.2049020100057266
0.6774193548387096,-2.9690457837919766
0.7096774193548387,-2.859923372100119
0.7419354838709677,-2.8460959443522347
0.7741935483870968,-1.843402666619414
0.8064516129032258,0.04360010356185917
0.8387096774193548,0.9913581960548052
0.8709677419354839,1.098128099718652
0.9032258064516129,0.6927252125872947
0.9354838709677419,0.7252888607998678
0.967741935483871,-0.46917665369190065
1.0,-1.8148100742455826
