# time in s, flow in mm^3/s
0.003020685126409184, 1765.8969027032945
0.04001313341359314, 1679.2163729889471
0.058421801466564505, 1465.6670679654198
0.08891321002517238, 740.9653058990916
0.10918244500383056, 144.3581044106395
0.1334354821057242, -707.7377695085888
0.14549633358870517, -1261.442486592976
0.1677355806063261, -2028.346284338404
0.19229506402539132, -2284.710517675383
0.21094451132756942, -2030.1849622414338
0.24410638065010426, -1563.510999233884
0.2670679654153443, -926.1902156068718
0.2877749808471053, -671.7522162635432
0.30222173579949674, -587.2605888147082
0.3290357885520414, -460.7420378680072
0.3474225675823577, -716.8436029331242
0.36786691474225663, -973.0327240888691
0.3800591003611691, -1271.4238809237177
0.41260807704935987, -1996.2131990806593
0.43495676918025605, -2550.355696618146
0.46538251067089864, -3402.714238809236
0.4918901171062713, -3871.927328444781
0.5287512312575244, -4213.92141840867
0.5616066542628875, -4342.979095983359
0.5906096092809459, -3961.2345408777437
0.6114479588486377, -3451.4829812848875
0.6364452227208055, -2856.8020137900858
0.6593411404180807, -2347.1380102878393
0.6904673306336873, -1837.8242311480753
0.7277443362153877, -1371.325380321763
0.765021341797089, -904.8265294954545
0.804574805734924, -12.892634343876125
0.8323081974389848, 1900.8208383495694
0.845375943964102, 3304.520083178293
0.8604355915508373, 4580.47499179162
0.8756703513188138, 6196.847980737664
0.892809456057787, 7515.267593301964
0.9095764474116235, 8110.298785159248
0.9262339936521837, 8492.568676808587
0.9405931925139546, 8406.851264091063
0.9629199956221959, 7810.15650651199
0.9850060194812305, 6745.386888475434
1.0050125861880266, 5638.152566487908
